fid,GbCity,City_EN,GbProv,Prov_EN,xcoord,ycoord
"1","1100",Beijing,11,Beijing,116.409854880764,40.1849625495904
"2","1200",Tianjin,12,Tianjin,117.329206800212,39.3118681976115
"3","1301",Shijiazhuang,13,Hebei,114.440843938856,38.1293016940293
"4","1302",Tangshan,13,Hebei,118.33399019412,39.7479964103363
"5","1303",Qinhuangdao,13,Hebei,119.183647554694,40.0911200651326
"6","1304",Handan,13,Hebei,114.543312272754,36.5501372664322
"7","1305",Xingtai,13,Hebei,114.818760454475,37.2110904152157
"8","1306",Baoding,13,Hebei,115.168223487654,39.0223767152848
"9","1307",Zhangjiakou,13,Hebei,115.030440442123,40.8651088310372
"10","1308",Chengde,13,Hebei,117.545978734029,41.3457832635676
"11","1309",Cangzhou,13,Hebei,116.744696235921,38.2651620760459
"12","1310",Langfang,13,Hebei,116.628580804714,39.2617497921863
"13","1311",Hengshui,13,Hebei,115.823178470538,37.7611199717714
"14","1401",Taiyuan,14,Shanxi,112.314144091102,37.959452295629
"15","1402",Datong,14,Shanxi,113.716800177258,39.9025234311448
"16","1403",Yangquan,14,Shanxi,113.501016782332,38.0624918980125
"17","1404",Changzhi,14,Shanxi,112.914197862384,36.4767155710587
"18","1405",Jincheng,14,Shanxi,112.701187940214,35.6121285355396
"19","1406",Shuozhou,14,Shanxi,112.641080735281,39.6168833795411
"20","1407",Jinzhong,14,Shanxi,112.962911099583,37.327350888197
"21","1408",Yuncheng,14,Shanxi,111.078230899118,35.1919958769219
"22","1409",Xinzhou,14,Shanxi,112.409380009215,38.8818153939873
"23","1410",Linfen,14,Shanxi,111.37382487262,36.2309226796554
"24","1423",Lvliangdiqu,14,Shanxi,111.262837797156,37.6796725569357
"25","1501",Huhehaote,15,Neimenggu,111.495607227663,40.5915231034296
"26","1502",Baotou,15,Neimenggu,110.256859227907,41.5526804271828
"27","1503",Wuhai,15,Neimenggu,106.883346421178,39.5682044518886
"28","1504",Chifeng,15,Neimenggu,118.900913176887,43.20696163824
"29","1505",Tongliao,15,Neimenggu,121.571006733862,43.8178102818735
"30","1521",Hulunbeier,15,Neimenggu,121.196647336781,49.6597800072393
"31","1522",Xingan,15,Neimenggu,121.3411760099,46.2235521483357
"32","1525",Xilinguole,15,Neimenggu,115.50644040078,44.1915815214093
"33","1526",Wulanchabu,15,Neimenggu,112.44580115151,41.6860674241545
"34","1527",Yikezhao,15,Neimenggu,108.62552824891,39.4120574770984
"35","1528",Bayannaoer,15,Neimenggu,107.577425807661,41.4508114090094
"36","1529",Alashan,15,Neimenggu,102.44074365035,40.4964171220109
"37","2101",Shenyang,21,Liaoning,123.135464198369,42.0957701449424
"38","2102",Dalian,21,Liaoning,122.213781992998,39.599052026695
"39","2103",Anshan,21,Liaoning,123.006187289157,40.7163566744694
"40","2104",Fushun,21,Liaoning,124.652447867424,41.8330917334821
"41","2105",Benxi,21,Liaoning,124.564539030158,41.2284947266209
"42","2106",Dandong,21,Liaoning,124.399845917936,40.5444857562984
"43","2107",Jinzhou,21,Liaoning,121.620222094927,41.4761137566849
"44","2108",Yingkou,21,Liaoning,122.467623073391,40.3910669753909
"45","2109",Fuxin,21,Liaoning,121.954226470635,42.2792486436945
"46","2110",Liaoyang,21,Liaoning,123.243129703534,41.1804611842702
"47","2111",Panjin,21,Liaoning,122.015628874439,41.1032801096216
"48","2112",Tieling,21,Liaoning,124.168489247753,42.6421697194434
"49","2113",Chaoyang,21,Liaoning,120.011598996202,41.5108756678847
"50","2114",Huludao,21,Liaoning,120.196390413598,40.6255584778768
"51","2201",Changchun,22,Jilin,125.769915300357,44.3792212898145
"52","2202",Jilin,22,Jilin,126.840968838102,43.579933331743
"53","2203",Siping,22,Jilin,124.471009184955,43.5696659071331
"54","2204",Liaoyuan,22,Jilin,125.303963537339,42.8103618222056
"55","2205",Tonghua,22,Jilin,125.948185127679,41.9548934082779
"56","2206",Baishan,22,Jilin,127.283953821904,42.0688701538348
"57","2207",Songyuan,22,Jilin,124.478710376516,44.8000202689223
"58","2208",Baicheng,22,Jilin,123.012650695395,45.3450763180176
"59","2224",Yanbianchaoxianzu,22,Jilin,129.12747051884,43.1425864701044
"60","2301",Haerbin,23,Heilongjiang,127.954821182462,45.6357102078559
"61","2302",Qiqihaer,23,Heilongjiang,124.541708993537,47.6971337079134
"62","2303",Jixi,23,Heilongjiang,132.28292514734,45.6286797514692
"63","2304",Hegang,23,Heilongjiang,130.80338922133,47.6415156884022
"64","2305",Shuangyashan,23,Heilongjiang,132.543039943306,46.6783674720306
"65","2306",Daqing,23,Heilongjiang,124.699533587799,46.3462270065104
